Pin No.,Pin name,Signal or label,Comment
L13,PB12,USB_OTG_HS_ULPI_D5,-
L14,PD9,FMC_D14,-
L15,PD8,FMC_D13,-
M1,VSSA,-,-
M2,PC0,USB_OTG_HS_ULPI_STP,-
M3,PC1,ETH_MDC,-
M4,PC2,ADC1_IN12,ARD_A2
M5,PB2,QUADSPI_CLK,-
M6,PF12,FMC_A6,-
M7,PG1,FMC_A11,-
M8,PF15,FMC_A9,-
M9,PJ4,GPIO_Input,ARD_D8
M10,PD12,I2C4_SCL,-
M11,PD13,QUADSPI_BK1_IO3,-
M12,PG3,GPIO_Input,EXT_SCL
M13,PG2,FMC_A12,-
M14,PJ5,GPIO_Input,LD_USER2
M15,PH12,FMC_D20,-
N1,VREF-,-,-
N2,PA1,ETH_REF_CLK,-
N3,PA0/WKUP,SYS_WKUP0,B_USER
N4,PA4,ADC1_IN4,ARD_A1
N5,PC4,ETH_RXD0,-
N6,PF13,FMC_A7,-
N7,PG0,FMC_A10,-
N8,PJ3,GPIO_Input,ARD_D7
N9,PE8,FMC_D5,-
N10,PD11,SAI2_SD_A,-
N11,PG5,FMC_BA1,-
N12,PG4,FMC_BA0,-
N13,PH7,GPIO_Input,EXT_RST
N14,PH9,FMC_D17,-
N15,PH11,FMC_D19,-
P1,VREF+,-,-
P2,PA2,ETH_MDIO,-
P3,PA6,ADC1_IN6,ARD_A0
P4,PA5,USB_OTG_HS_ULPI_CK,-
P5,PC5,ETH_RXD1,-
P6,PF14,FMC_A8,-
P7,PJ2,DSIHOST_TE,DSIHOST_TE
P8,PF11,FMC_SDNRAS,-
P9,PE9,FMC_D6,-
P10,PE11,FMC_D8,-
P11,PE14,FMC_D11,-
P12,PB10,USB_OTG_HS_ULPI_D3,-
P13,PH6,TIM12_CH1,ARD_D9/PWM
P14,PH8,FMC_D16,-
P15,PH10,FMC_D18,-
R1,VDDA,-,-
R2,PA3,USB_OTG_HS_ULPI_D0,-
R3,PA7,ETH_CRS_DV,-
R4,PB1,USB_OTG_HS_ULPI_D2,-
R5,PB0,USB_OTG_HS_ULPI_D1,-
R6,PJ0,GPIO_Input,ARD_D4
R7,PJ1,GPIO_Input,ARD_D2
R8,PE7,FMC_D4,-
R9,PE10,FMC_D7,-
R10,PE12,FMC_D9,-
R11,PE15,FMC_D12,-
R12,PE13,FMC_D10,-
R13,PB11,USB_OTG_HS_ULPI_D4,-
R14,PB14,SPI2_MISO,ARD_D12/MISO
R15,PB15,SPI2_MOSI,ARD_D11/PWM/MOSI
